"","STATE","COUNTY","CITY","ADDRESS","DATE","LAT","LON"
"42","ALABAMA","CALHOUN","ANNISTON","704 MOUNTAIN DRIVE",2008-03-05,33.731136,-85.8055
"43","ALABAMA","CALHOUN","ANNISTON","792 JAMBACK ROAD",2010-05-14,33.631448,-85.733462
"44","ALABAMA","CALHOUN","ANNISTON","807 BANCROFT",2006-03-21,33.654643,-85.856056
"45","ALABAMA","CALHOUN","DE ARMANVILLE","2445 DEARMANVILLE RD C-4",2004-07-08,33.6264,-85.751404
"46","ALABAMA","CALHOUN","JACKSONVILLE","1520 CHURCH SE ST LOT 6",2004-05-27,33.816553,-85.761223
"47","ALABAMA","CALHOUN","JACKSONVILLE","69 ROBERTS CHAPEL RD",2006-01-03,33.816553,-85.761223
"48","ALABAMA","CALHOUN","OHATCHEE","1050 GILBERTS FERRY ROAD",2008-09-17,33.878847,-85.969631
"49","ALABAMA","CALHOUN","OHATCHEE","8934 MUDD ST",2004-01-27,33.720968,-86.046093
"50","ALABAMA","CALHOUN","OXFORD","1909 FRIENDSHIP ROAD",2010-06-21,33.585609,-85.798373
"51","ALABAMA","CALHOUN","OXFORD","2218 MILLER ST",2004-05-23,33.59807,-85.844599
"52","ALABAMA","CALHOUN","OXFORD","415 MCPHERSON AVE",2004-03-25,33.616233,-85.836645
"53","ALABAMA","CALHOUN","OXFORD","50 SHORT STREET 4",2010-05-10,33.61055,-85.809616
"54","ALABAMA","CALHOUN","OXFORD","600 MCPHERSON STREET 6",2010-07-05,33.614763,-85.83711
"55","ALABAMA","CALHOUN","WEAVER","705 TIMBERWAY",2004-02-05,33.753992,-85.819347
"56","ALABAMA","CHAMBERS","LAFAYETTE","1423 COUNTY ROAD 102 RD",2004-04-27,32.939394,-85.426289
"57","ALABAMA","CHAMBERS","LANETT","2314 BROAD AVE",2004-07-06,32.849042,-85.187032
"58","ALABAMA","CHAMBERS","VALLEY","103 EAST SEARS STREET",2010-01-06,32.790276,-85.19081
"59","ALABAMA","CHAMBERS","VALLEY","1110 MYHAND STREET",2006-07-09,32.78861,-85.156337
"60","ALABAMA","CHAMBERS","VALLEY","2155 COUNTRY RD 388",2010-01-13,32.817417,-85.171465
"61","ALABAMA","CHAMBERS","VALLEY","2155 COUNTY ROAD 388 LOT #3",2010-06-02,32.817417,-85.171465
"62","ALABAMA","CHEROKEE","CEDAR BLUFF","215 CO RD 610",2008-01-08,34.220725,-85.592273
"63","ALABAMA","CHEROKEE","CEDAR BLUFF","3925 BOUNDARY AVENUE",2008-08-11,34.22516,-85.601278
"64","ALABAMA","CHEROKEE","CEDAR BLUFF","610 COUNTY 104 ROAD",2010-07-13,34.220725,-85.592273
"65","ALABAMA","CHEROKEE","CENTRE","1017 1ST AVENUE",2006-07-11,34.15231,-85.682752
"66","ALABAMA","CHEROKEE","CENTRE","107 AUBURN ST",2006-01-08,34.156006,-85.694838
"67","ALABAMA","CHEROKEE","CENTRE","130 COUNTY ROAD 557",2006-12-15,34.143987,-85.587482
"68","ALABAMA","CHEROKEE","CENTRE","14495 CO RD 22",2008-08-26,34.158781,-85.66733
"69","ALABAMA","CHEROKEE","CENTRE","2010 CO RD 65",2008-02-06,34.158781,-85.66733
"70","ALABAMA","CHEROKEE","CENTRE","303 WILLIAMS ST",2004-04-09,34.151116,-85.656553
"71","ALABAMA","CHEROKEE","CENTRE","327 RAY STREET",2006-05-24,34.163749,-85.675772
"72","ALABAMA","CHEROKEE","CENTRE","412 RIVER S",2004-02-18,34.158781,-85.66733
"73","ALABAMA","CHEROKEE","CENTRE","450 CO RD 470",2008-09-17,34.158781,-85.66733
"74","ALABAMA","CHEROKEE","COLLINSVILLE","441 US HWY 68 B",2008-09-10,34.263835,-85.860662
"75","ALABAMA","CHEROKEE","GAYLESVILLE","2603 CO RD 41",2008-04-19,34.268362,-85.556951
"76","ALABAMA","CHEROKEE","GAYLESVILLE","265 C/R 563",2008-03-30,34.268362,-85.556951
"77","ALABAMA","CHEROKEE","GAYLESVILLE","400 COUNTY ROAD 114",2006-09-01,34.318253,-85.621615
"78","ALABAMA","CHEROKEE","LEESBURG","140 AGAN CIRCLE",2010-04-28,34.196586,-85.758186
"79","ALABAMA","CHEROKEE","LEESBURG","145 CO RD 452",2008-02-07,34.191713,-85.767556
"80","ALABAMA","CHEROKEE","LEESBURG","145 CO RD 594",2008-07-09,34.191713,-85.767556
"81","ALABAMA","CHEROKEE","LEESBURG","2135 COUNTY ROAD 166",2006-12-11,34.229019,-85.747438
"82","ALABAMA","CHEROKEE","LEESBURG","400 COUNTY ROAD 915",2009-06-06,34.212123,-85.712361
"83","ALABAMA","CHEROKEE","LEESBURG","775 C.R. 17",2008-07-18,34.191713,-85.767556
"84","ALABAMA","CHEROKEE","PIEDMONT","1331 COUNTY ROAD 19",2010-04-01,33.986441,-85.711421
"85","ALABAMA","CHEROKEE","PIEDMONT","2060 COUNTY ROAD 111",2009-06-11,33.980216,-85.521759
"86","ALABAMA","CHEROKEE","PIEDMONT","77 C/R 27",2008-03-04,33.926846,-85.61376
"87","ALABAMA","CHILTON","CLANTON","824 COUNTRY ROAD 20",2010-04-16,32.839182,-86.631125
"88","ALABAMA","CHILTON","CLANTON","996 COUNTY ROAD 182",2010-05-12,33.022172,-86.594658
"89","ALABAMA","CHILTON","CLANTON","CO RD 824 20",2009-05-29,32.839182,-86.631125
"90","ALABAMA","CHILTON","CLANTON","POPLAR SPRINGS ROAD 1322",2009-05-30,32.819431,-86.607658
"91","ALABAMA","CHILTON","JEMISON","161 CO. RD. 781",2005-08-03,32.964819,-86.747115
"92","ALABAMA","CHILTON","JEMISON","2539 COUNTY 25 ROAD",2011-07-12,32.964819,-86.747115
"93","ALABAMA","CHILTON","JEMISON","4659 HIGHWAY 191",2005-02-11,33.013847,-86.760415
"94","ALABAMA","CHILTON","JEMISON","615 COUNTY 50 ROAD",2011-07-12,32.964819,-86.747115
"95","ALABAMA","CHILTON","JEMISON","COUNTY ROAD 42 127771",2010-01-05,32.964819,-86.747115
"96","ALABAMA","CHILTON","MAPLESVILLE","607 CO RD 1049",2009-05-08,32.788516,-86.871734
"97","ALABAMA","CHILTON","VERBENA","769 CO RD 530",2009-06-15,32.754492,-86.511734
"98","ALABAMA","CHOCTAW","LISMAN","84 PARADISE RD",2004-11-09,32.167564,-88.285637
"99","ALABAMA","CLARKE","CLARKE","641 RURAL ROAD",2008-02-18,33.914551,-87.576682
"100","ALABAMA","CLARKE","JACKSON","302 DUBASE LANE",2004-01-15,31.541664,-87.92042
"101","ALABAMA","CLEBURNE","HEFLIN","1624 CO RD 10 1",2008-10-28,33.64816,-85.587407
"102","ALABAMA","CLEBURNE","HEFLIN","1701 ALMON STREET 11",2006-10-07,33.631446,-85.594248
"103","ALABAMA","CLEBURNE","HEFLIN","2608 CO RD 10",2008-10-28,33.64816,-85.587407
"104","ALABAMA","CLEBURNE","HEFLIN","5598 US E HWY 78",2004-03-05,33.64816,-85.587407
"105","ALABAMA","CLEBURNE","HEFLIN","5904 CO RD 19",2008-11-14,33.64816,-85.587407
"106","ALABAMA","CLEBURNE","MUSCADINE","701 COUNTY ROAD 485 RD",2004-06-16,33.703717,-85.358041
"107","ALABAMA","COFFEE","BRANTLEY","112 348 COUNTY ROAD",2004-06-02,31.582389,-86.257205
"108","ALABAMA","COFFEE","BRUNDIDGE","6535 COUNTY ROAD 105",2006-05-10,31.589822,-85.832411
"109","ALABAMA","COFFEE","ELBA","11010 STATE HWY 125",2005-05-17,31.41453,-86.066991
"110","ALABAMA","COFFEE","ELBA","1907 COUNTY RD 228 RD",2004-02-26,31.466199,-86.005124
"111","ALABAMA","COFFEE","ELBA","445 FOREST HILLS DRIVE",2006-03-13,31.41453,-86.066991
"112","ALABAMA","COFFEE","ELBA","681 CO RD 401",2006-05-03,31.41453,-86.066991
"113","ALABAMA","COFFEE","ELBA","681 COUNTY ROAD 401",2006-02-10,31.387334,-86.051546
"114","ALABAMA","COFFEE","ENTERPRISE","1591 PARK E AVE 114",2004-05-29,31.304515,-85.814925
"115","ALABAMA","COFFEE","ENTERPRISE","300 RAVEN STREET",2006-05-15,31.349132,-85.860718
"116","ALABAMA","COFFEE","ENTERPRISE","442 PAUL ST",2005-05-13,31.301221,-85.823388
"117","ALABAMA","COFFEE","ENTERPRISE","587 CO RD 716",2009-06-27,31.385865,-85.929335
"118","ALABAMA","COFFEE","ENTERPRISE","845 COUNTY ROAD 606",2005-02-11,31.30585,-85.891271
"119","ALABAMA","COFFEE","ENTERPRISE","8543 COUNTY ROAD 636",2004-08-24,31.26094,-85.890353
"120","ALABAMA","COFFEE","JACK","1141 COUNTY ROAD 201",2006-03-21,31.589907,-85.957169
"121","ALABAMA","COFFEE","KINSTON","171 PEACHTREE ST",2004-02-27,31.217893,-86.172684
"122","ALABAMA","COFFEE","KINSTON","197 COUNTY ROAD 5 RD",2004-07-12,31.189736,-86.136752
"123","ALABAMA","COFFEE","KINSTON","242 RICHARDSON ST",2004-01-07,31.223224,-86.170306
"124","ALABAMA","COFFEE","KINSTON","7545 HWY 189 S",2006-01-18,31.333941,-86.131756
"125","ALABAMA","COFFEE","NEW BROCKTON","1155 COUNTY ROAD 615",2006-05-31,31.287255,-85.974012
"126","ALABAMA","COFFEE","NEW BROCKTON","16485 HWY 167 NORTH",2006-01-03,31.441949,-85.892897
"127","ALABAMA","COFFEE","NEW BROCKTON","201 JOHNS S ST",2004-05-27,31.385865,-85.929335
"128","ALABAMA","COFFEE","SAMSON","221 COUNTY RD",2004-04-07,31.112954,-86.045988
"129","ALABAMA","COFFEE","TROY","33844 NORTH 87 HIGHWAY",2009-06-10,31.81016,-85.972215
"130","ALABAMA","COLBERT","CHEROKEE","3035 ALLSBORO ROAD",2006-04-14,34.68854,-88.111292
"131","ALABAMA","COLBERT","LEIGHTON","437 MCCORMACK LN B",2004-02-24,34.663759,-87.53553
"132","ALABAMA","COLBERT","MUSCLE SHOALS","503 PILGRAM AVENUE",2010-07-15,34.753482,-87.670279
"133","ALABAMA","COLBERT","RUSSELLVILLE","1675 ELM LANE",2008-01-14,34.592716,-87.673292
"134","ALABAMA","COLBERT","SHEFFIELD","4305 SOUTH NATHAN BOULEVARD",2010-01-19,34.759846,-87.698592
"135","ALABAMA","COLBERT","TUSCUMBIA","2090 SPRING VALLEY ROAD",2010-05-08,34.656841,-87.626121
"136","ALABAMA","COLBERT","TUSCUMBIA","804 KING AVENUE",2010-05-11,34.738818,-87.683676
"137","ALABAMA","CONECUH","REPTON","923 LAKEVIEW DR",2004-11-07,31.409188,-87.239199
"138","ALABAMA","COOSA","CLANTON","2270 LITTLE TOM ROAD",2008-07-08,32.969898,-86.478501
"139","ALABAMA","COOSA","EQUALITY","615 COOK ROAD",2008-05-26,32.761902,-86.101898
"140","ALABAMA","COOSA","GOODWATER","202 CO RD 77 R",2008-06-03,33.062753,-86.05403
"141","ALABAMA","COVINGTON","ANDALUSIA","23591 HARMONY CHURCH RD",2004-06-07,31.337314,-86.380878
"142","ALABAMA","COVINGTON","ANDALUSIA","301 PUGH ST",2004-12-15,31.314316,-86.488071
"143","ALABAMA","COVINGTON","DOZIER","31979 HWY 29 NORTH",2006-02-22,31.494218,-86.367758
"144","ALABAMA","COVINGTON","FLORALA","1602 4TH ST",2005-02-22,31.010356,-86.323832
"145","ALABAMA","COVINGTON","FLORALA","2010 WEST 7TH AVENUE",2006-05-31,31.011538,-86.333544
"146","ALABAMA","COVINGTON","FLORALA","22464 7TH AVENUE",2006-06-20,31.007759,-86.326437
"147","ALABAMA","COVINGTON","FLORALA","25294 5TH AVENUE",2006-05-09,31.007649,-86.331818
"148","ALABAMA","COVINGTON","FLORALA","25488 5TH AVE",2004-06-01,31.007649,-86.331818
"149","ALABAMA","COVINGTON","FLORALA","792 FIR ST",2004-04-13,31.005106,-86.327629
"150","ALABAMA","COVINGTON","OPP","1300 OLD PERRY STORE RD",2004-12-02,31.280537,-86.22728
"151","ALABAMA","COVINGTON","RED LEVEL","28453 ANNA LN",2004-02-09,31.408049,-86.603398
"152","ALABAMA","CRENSHAW","BRANTLEY","10136 HWY 141",2005-09-14,31.494147,-86.190365
"153","ALABAMA","CRENSHAW","LUVERNE","14 FORREST S AVE 14",2004-10-13,31.717825,-86.263812
"154","ALABAMA","CULLMAN","BAILEYTON","297 CO RD 1591",2004-01-09,34.255765,-86.619685
"155","ALABAMA","CULLMAN","CULLMAN","107 CO 1475 ROAD",2010-04-02,34.173753,-86.843115
"156","ALABAMA","CULLMAN","CULLMAN","1362 COUNTY ROAD 449",2010-01-04,34.075806,-86.91924
"157","ALABAMA","CULLMAN","CULLMAN","284 CO RD 109",2004-12-09,34.173753,-86.843115
"158","ALABAMA","CULLMAN","CULLMAN","4588 CR 222",2004-12-06,34.111767,-86.91972
"159","ALABAMA","CULLMAN","CULLMAN","640 CO RD 1127",2004-09-08,34.173753,-86.843115
"160","ALABAMA","CULLMAN","CULLMAN","66 STRICKLIN ROAD",2010-07-08,34.103035,-86.884871
"161","ALABAMA","CULLMAN","CULLMAN","800 1678 CIRCLE",2010-12-06,34.173753,-86.843115
"162","ALABAMA","CULLMAN","CULLMAN","8840 AL HWY 157",2004-09-27,34.225145,-86.902439
"163","ALABAMA","CULLMAN","HANCEVILLE","116 CO RD 483",2004-12-29,34.065461,-86.764111
"164","ALABAMA","CULLMAN","HANCEVILLE","78 CO RD 531",2004-12-18,34.065461,-86.764111
"165","ALABAMA","CULLMAN","JOPPA","43 HILLSIDE VIEW RD",2005-06-14,34.305376,-86.620656
"166","ALABAMA","CULLMAN","VINEMONT","18195 US 31 HIGHWAY",2010-07-28,34.250208,-86.871385
"167","ALABAMA","CULLMAN","VINEMONT","80 COUNTY ROAD 1247",2010-01-19,34.260971,-86.924253
"168","ALABAMA","DALE","DALEVILLE","2447 GRITNEY S RD",2004-04-30,31.307086,-85.714275
"169","ALABAMA","DALE","ENTERPRISE","205 RICHLAND DRIVE",2009-04-08,31.337001,-85.787166
"170","ALABAMA","DALE","ENTERPRISE","23 WATERS ST NO. 1",2004-01-06,31.385865,-85.929335
"171","ALABAMA","DALE","LEVEL PLAINS","159 G ST",2005-01-10,31.304561,-85.77064
"172","ALABAMA","DALE","MIDLAND CITY","420 JACKSON CIRCLE",2010-06-11,31.272202,-85.516496
"173","ALABAMA","DALE","NEWTON","14237 84 W HWY",2005-06-06,31.321107,-85.58991
"174","ALABAMA","DALE","OZARK","11511 HWY 27",2004-10-13,31.557741,-85.545796
"175","ALABAMA","DALE","OZARK","222 COUNTY 317 W RD",2004-05-06,31.459002,-85.640295
"176","ALABAMA","DALE","OZARK","517 BROAD E ST",2004-12-10,31.459267,-85.632585
"177","ALABAMA","DEKALB","BOAZ","1406 COUNRY 380 ROAD",2010-12-16,34.198284,-86.165656
"178","ALABAMA","DEKALB","COLLINSVILLE","2324 CO RD 469",2008-03-22,34.263835,-85.860662
"179","ALABAMA","DEKALB","COLLINSVILLE","24159 76 HIGHWAY",2009-04-24,34.263835,-85.860662
"180","ALABAMA","DEKALB","CROSSVILLE","129 COUNTY ROAD 389",2006-03-08,34.34919,-86.062789
"181","ALABAMA","DEKALB","FORT PAYNE","16708 HWY 176 HIGHWAY",2006-05-09,34.441059,-85.722603
"182","ALABAMA","DEKALB","FORT PAYNE","203 NORTHEAST 20TH STREET",2006-11-27,34.459909,-85.703362
"183","ALABAMA","DEKALB","FORT PAYNE","3229 COUNTY RD 101",2006-05-15,34.28838,-85.742776
"184","ALABAMA","DEKALB","FORT PAYNE","410 NORTHEAST BEASON GAP ROAD 172",2010-11-30,34.454281,-85.693533
"185","ALABAMA","DEKALB","FORT PAYNE","449 COUNTY ROAD 74",2006-10-30,34.266122,-85.769879
"186","ALABAMA","DEKALB","FORT PAYNE","5713 DUNN ROAD",2009-04-05,34.465228,-85.612594
"187","ALABAMA","DEKALB","FORT PAYNE","605 FRUIT FARM ROAD",2006-10-25,34.427929,-85.699434
"188","ALABAMA","DEKALB","HENAGAR","1891 COUNTY 651 ROAD",2006-01-15,34.625049,-85.754266
"189","ALABAMA","DEKALB","RAINSVILLE","860 JONES ROAD",2011-05-12,34.532871,-85.887475
"190","ALABAMA","DEKALB","SYLVANIA","133 3RD STREET",2008-05-06,34.570865,-85.803514
"191","ALABAMA","Dekalb","CROSSVILLE","201 GRAVES ST",2004-10-25,34.285878,-85.990568
"192","ALABAMA","Dekalb","FORT PAYNE","141 CO RD 678",2005-02-20,34.441059,-85.722603
"193","ALABAMA","Dekalb","FORT PAYNE","1968 GODFREY NE AVE",2004-12-29,34.441059,-85.722603
"194","ALABAMA","Dekalb","FORT PAYNE","215 CO RD 293",2004-10-29,34.441059,-85.722603
"195","ALABAMA","Dekalb","FORT PAYNE","2452 CO RD 79",2004-02-21,34.441059,-85.722603
"196","ALABAMA","Dekalb","FORT PAYNE","276 COUNTY ROAD 81",2004-12-17,34.354346,-85.740133
"197","ALABAMA","Dekalb","FORT PAYNE","311 BARRY ST",2005-01-10,34.444572,-85.759186
"198","ALABAMA","Dekalb","FORT PAYNE","706 CAVE SW ST",2005-09-05,34.441059,-85.722603
"199","ALABAMA","Dekalb","FYFFE","1006 CO RD 538",2005-10-05,34.446289,-85.905014
"200","ALABAMA","Dekalb","FYFFE","25 RD 9092 W",2004-02-16,34.446289,-85.905014
"201","ALABAMA","Dekalb","FYFFE","9937 COUNTY 50 RD",2004-04-25,34.446289,-85.905014
"202","ALABAMA","Dekalb","GROVE OAK","357 CO RD 820",2004-12-15,32.756889,-86.844516
"203","ALABAMA","Dekalb","GROVE OAK","936 COUNTY 552",2004-09-11,32.756889,-86.844516
"204","ALABAMA","Dekalb","HENAGAR","13009 AL HWY 75 N",2004-09-15,34.625049,-85.754266
"205","ALABAMA","Dekalb","IDER","130 WOODLAND DR",2004-10-13,34.714891,-85.655988
"206","ALABAMA","Dekalb","IDER","3374 COUNTY 739",2004-05-18,34.703472,-85.672282
"207","ALABAMA","Dekalb","MENTONE","164 653 RD",2004-02-29,34.579174,-85.590077
"208","ALABAMA","Dekalb","RAINSVILLE","1217 CO RD 570",2005-06-12,34.493973,-85.847355
"209","ALABAMA","Dekalb","RAINSVILLE","278 CROFT ST",2004-09-22,34.493227,-85.835468
"210","ALABAMA","Dekalb","RAINSVILLE","426 HEATON RD",2005-02-15,34.468243,-85.860234
"211","ALABAMA","Dekalb","RAINSVILLE","426 HESTON W RD",2004-02-17,34.493973,-85.847355
"212","ALABAMA","Dekalb","RAINSVILLE","860 JONES RD",2005-11-03,34.532871,-85.887475
"213","ALABAMA","Dekalb","SYLVANIA","121 COUNTY 884 RD",2004-08-14,34.569033,-85.794303
"214","ALABAMA","Dekalb","VALLEY HEAD","40646 HWY 11 N",2005-08-03,34.563056,-85.619093
"215","ALABAMA","ELMORE","DEATSVILLE","341 RIDGEDALE LANE",2011-07-27,32.545124,-86.399657
"216","ALABAMA","ELMORE","ECLECTIC","3366 CLAUD ROAD 14",2010-06-24,32.590538,-86.063889
"217","ALABAMA","ELMORE","ELMORE","2000 POLITIC ROAD",2009-04-09,32.540108,-86.344784
"218","ALABAMA","ELMORE","ELMORE","260 RENEE WAY",2010-07-14,32.545592,-86.337039
"219","ALABAMA","ELMORE","MILLBROOK","3371 GRANDVIEW DRIVE",2009-05-11,32.479143,-86.365596
"220","ALABAMA","ELMORE","WETUMPKA","182 VENABLE ROAD",2011-08-04,32.628621,-86.102046
"221","ALABAMA","ELMORE","WETUMPKA","579 MANN ROAD",2011-07-26,32.687098,-86.112449
"222","ALABAMA","ELMORE","WETUMPKA","68 BEACH WOOD LANE",2009-06-14,32.625522,-86.288981
"223","ALABAMA","ESCAMBIA","ATMORE","1304 EAST NASHVILLE AVENUE 12",2010-11-26,31.024327,-87.478547
"224","ALABAMA","ESCAMBIA","ATMORE","2325 WEST ATMOSPHERE ROAD",2010-11-29,31.108772,-87.522255
"225","ALABAMA","ESCAMBIA","ATMORE","2444 DEER CREEK RD",2004-09-01,31.0004,-87.538567
"226","ALABAMA","ESCAMBIA","BREWTON","23046 HIGHWAY 29",2006-06-05,31.08255,-87.007419
"227","ALABAMA","ESCAMBIA","BREWTON","492 CROOK RD",2004-12-27,31.120316,-86.963017
"228","ALABAMA","ETOWAH","ALTOONA","161 STATON ROAD",2010-06-17,34.066318,-86.157454
"229","ALABAMA","ETOWAH","ATTALLA","222 FORMAN DRIVE",2010-06-22,34.024062,-86.101867
"230","ALABAMA","ETOWAH","BOAZ","101 WALNUT ST",2004-09-03,34.196963,-86.167701
"231","ALABAMA","ETOWAH","BOAZ","129 HAPPY HILL ROAD",2010-01-09,34.133761,-86.121402
"232","ALABAMA","ETOWAH","BOAZ","907 INGRAM ST",2005-01-21,34.207241,-86.154504
"233","ALABAMA","ETOWAH","BOAZ","99 HAYDEN RD",2005-01-10,34.171445,-86.20216
"234","ALABAMA","ETOWAH","GADSDEN","1518 GADSDEN AVENUE",2010-01-05,34.026186,-86.026966
"235","ALABAMA","ETOWAH","GADSDEN","405 WILLOW CREEK ROAD",2010-05-26,34.034277,-85.826061
"236","ALABAMA","FAYETTE","BERRY","638 COUNTY ROAD 62",2010-06-19,33.638641,-87.624767
"237","ALABAMA","FAYETTE","ELDRIDGE","17175 STATE HWY 233",2004-02-11,33.922747,-87.619128
"238","ALABAMA","FAYETTE","ELDRIDGE","6540 CO RD 24",2004-05-26,33.922747,-87.619128
"239","ALABAMA","FAYETTE","FAYETTE","2313 2ND AVENUE",2010-06-26,33.718389,-87.82103
"240","ALABAMA","FAYETTE","GLEN ALLEN","160 COUNTY ROAD 73",2004-04-04,33.915141,-87.737254
"241","ALABAMA","FAYETTE","WINFIELD","187 MAUD TAYLOR ROAD",2008-09-08,33.886712,-87.879154
"242","ALABAMA","FRANKLIN","HALEYVILLE","987 92 HIGHWAY",2008-05-10,34.231098,-87.615986
"243","ALABAMA","FRANKLIN","HODGES","2504 SUNSET ROAD",2010-04-26,34.326533,-87.963837
"244","ALABAMA","FRANKLIN","HODGES","3103 172 HIGHWAY 1",2009-05-15,34.327303,-87.926012
"245","ALABAMA","FRANKLIN","HODGES","7929 HWY 172",2008-01-24,34.31247,-87.909583
"246","ALABAMA","FRANKLIN","PHIL CAMPBELL","1114 BAKER ROAD",2008-04-22,34.425757,-87.643506
"247","ALABAMA","FRANKLIN","PHIL CAMPBELL","194 BLACK CHURCH ROAD",2008-02-25,34.399575,-87.661593
"248","ALABAMA","FRANKLIN","PHIL CAMPBELL","4274 20 HIGHWAY",2008-04-25,34.351953,-87.706087
"249","ALABAMA","FRANKLIN","RED BAY","338 GARRISON HOLLOW RD",2004-03-06,34.46236,-88.087667
"250","ALABAMA","FRANKLIN","RUSSELLVILLE","100 TOWN AND COUNTRY LOT F-6",2008-02-28,34.507632,-87.728983
"251","ALABAMA","FRANKLIN","RUSSELLVILLE","10331 SOUTH 43 HIGHWAY",2007-11-28,34.507632,-87.728983
"252","ALABAMA","FRANKLIN","RUSSELLVILLE","1730 NORTH SOCKWELL AVENUE",2010-06-21,34.521881,-87.721417
